date,bit,rate
2016-09-11,621.65002,0
2016-09-12,609.66998,-0.019271358
2016-09-13,610.91998,-0.01726058
2016-09-14,608.82001,-0.020638638
2016-09-15,610.38,-0.018129204
2016-09-16,609.10999,-0.02017217
2016-09-17,607.03998,-0.023502034
2016-09-18,611.58002,-0.016198825
2016-09-19,610.19,-0.018434842
2016-09-20,608.65997,-0.020896082
2016-09-21,598.88,-0.036628359
2016-09-22,597.41998,-0.038976979
2016-09-23,594.08002,-0.044349713
2016-09-24,603.88,-0.028585248
2016-09-25,601.73999,-0.032027716
2016-09-26,598.97998,-0.036467529
2016-09-27,605.96002,-0.025239282
2016-09-28,605.66998,-0.025705847
2016-09-29,603.84998,-0.028633539
2016-09-30,609.39001,-0.019721724
2016-10-01,614.82001,-0.010986905
2016-10-02,612.97998,-0.013946819
2016-10-03,611.84998,-0.015764562
2016-10-04,609.62,-0.019351757
2016-10-05,607.17999,-0.023276811
2016-10-06,612.08002,-0.015394514
2016-10-07,617.21002,-0.007142282
2016-10-08,614.73999,-0.011115627
2016-10-09,615.65002,-0.009651733
2016-10-10,617.53998,-0.006611501
2016-10-11,614.77002,-0.01106732
2016-10-12,635.01001,0.021491176
2016-10-13,635.96002,0.023019383
2016-10-14,634.02002,0.019898656
2016-10-15,637.94,0.026204423
2016-10-16,641.41998,0.031802396
2016-10-17,638.96997,0.027861255
2016-10-18,636.28998,0.023550164
2016-10-19,629.25,0.012225496
2016-10-20,627.71997,0.009764256
2016-10-21,631.91998,0.016520485
2016-10-22,655.47998,0.054419623
2016-10-23,653.25,0.050832428
2016-10-24,651.39001,0.047840407
2016-10-25,655.31,0.05414619
2016-10-26,651.45001,0.047936924
2016-10-27,682.21997,0.097434164
2016-10-28,687.67999,0.106217273
2016-10-29,685.90997,0.10336998
2016-10-30,698,0.12281827
2016-10-31,702,0.129252759
2016-11-01,697.01001,0.12122575
2016-11-02,733.33002,0.179650923
2016-11-03,686.16998,0.103788238
2016-11-04,683.69,0.099798887
2016-11-05,704.78998,0.133740782
2016-11-06,712,0.14533898
2016-11-07,709.96002,0.142057423
2016-11-08,708.96997,0.140464807
2016-11-09,720.92999,0.15970396
2016-11-10,721.5,0.160620891
2016-11-11,715.45001,0.150888743
2016-11-12,703.71002,0.132003535
2016-11-13,702.28003,0.129703221
2016-11-14,706.46002,0.136427246
2016-11-15,710.90997,0.143585534
2016-11-16,711.72998,0.14490462
2016-11-17,736.96002,0.185490222
2016-11-18,747.52002,0.202477272
2016-11-19,748.97998,0.204825796
2016-11-20,729.06,0.172782074
2016-11-21,738.53003,0.188015775
2016-11-22,736.96997,0.185506227
2016-11-23,741.63,0.193002455
2016-11-24,737.45001,0.18627843
2016-11-25,735.64001,0.183366824
2016-11-26,733.66998,0.18019779
2016-11-27,727.96002,0.171012622
2016-11-28,727.31,0.169966986
2016-11-29,732.71002,0.178653577
2016-11-30,742.69,0.194707594
2016-12-01,742.04999,0.19367806
2016-12-02,772.42999,0.242548002
2016-12-03,764.33002,0.22951821
2016-12-04,762.96997,0.227330404
2016-12-05,754.63,0.213914543
2016-12-06,756.62,0.217115701
2016-12-07,758.98999,0.22092812
2016-12-08,769.71997,0.238188603
2016-12-09,770.02002,0.23867127
2016-12-10,769.08002,0.237159166
2016-12-11,777,0.249899421
2016-12-12,777,0.249899421
2016-12-13,777.98999,0.251491941
2016-12-14,774.89001,0.246505244
2016-12-15,776.75,0.249497265
2016-12-16,775.88,0.248097764
2016-12-17,788.70001,0.268720316
2016-12-18,788.40002,0.268237746
2016-12-19,788.66998,0.268672009
2016-12-20,793.09003,0.2757822
2016-12-21,824.21002,0.325842505
2016-12-22,834.96997,0.343151199
2016-12-23,901.31,0.449867242
2016-12-24,891.60999,0.434263591
2016-12-25,892.59998,0.435856111
2016-12-26,897.33002,0.443464958
2016-12-27,930.37,0.496613802
2016-12-28,930.34003,0.496565592
2016-12-29,963.38,0.54971442
2016-12-30,952.15002,0.531649625
2016-12-31,958.12,0.541253067
2017-01-01,997.71997,0.604954457
2017-01-02,1015.97,0.634311859
2017-01-03,1013.42,0.630209873
2017-01-04,1126.76,0.812531109
2017-01-05,994.66998,0.600048175
2017-01-06,999.65002,0.608059178
2017-01-07,896.83002,0.442660647
2017-01-08,908.14001,0.460854147
2017-01-09,910.48999,0.464634377
2017-01-10,906.04999,0.457492095
2017-01-11,785.21997,0.263122247
2017-01-12,780.91998,0.256205188
2017-01-13,826.28998,0.329188375
2017-01-14,817.90997,0.315708105
2017-01-15,819.54999,0.318346278
2017-01-16,830.5,0.335960707
2017-01-17,903.84003,0.453937104
2017-01-18,906.59998,0.458376821
2017-01-19,895.79889,0.441001948
2017-01-20,893.62109,0.437498691
2017-01-21,895.64001,0.44074637
2017-01-22,918.60364,0.477686175
2017-01-23,922.07361,0.483268045
2017-01-24,919.96997,0.479884083
2017-01-25,893.04565,0.436573025
2017-01-26,915.95624,0.473427508
2017-01-27,915.04999,0.471969694
2017-01-28,920.31226,0.480434699
2017-01-29,915.93298,0.473390092
2017-01-30,912.19,0.467369051
2017-01-31,964.70605,0.551847533
2017-02-01,979.70386,0.575973343
2017-02-02,983.41998,0.581951176
2017-02-03,1013.027,0.629577684
2017-02-04,1030.9994,0.658488485
2017-02-05,1034.0699,0.66342776
2017-02-06,1024.0138,0.647251294
2017-02-07,1050.11,0.68923022
2017-02-08,1052.84,0.693621758
2017-02-09,976.10303,0.570180968
2017-02-10,999.10352,0.607180066
