date,gold,gold_predict
2016/9/12,1324.6,
2016/9/13,1323.65,1807.69 
2016/9/14,1321.75,1790.89 
2016/9/15,1310.8,1756.08 
2016/9/16,1308.35,1705.76 
2016/9/19,1314.85,1645.21 
2016/9/20,1313.8,1580.39 
2016/9/21,1326.1,1516.90 
2016/9/22,1339.1,1459.31 
2016/9/23,1338.65,1411.04 
2016/9/26,1340.5,1374.29 
2016/9/27,1327,1349.66 
2016/9/28,1322.5,1336.32 
2016/9/29,1318.1,1331.96 
2016/9/30,1322.5,1333.63 
2016/10/3,1313.3,1338.39 
2016/10/4,1283.3,1343.96 
2016/10/5,1269.4,1348.62 
2016/10/6,1254.5,1350.69 
2016/10/7,1258.75,1349.04 
2016/10/10,1259.5,1343.25 
2016/10/11,1253.45,1333.86 
2016/10/12,1256.5,1322.03 
2016/10/13,1261.05,1308.97 
2016/10/14,1251.75,1295.88 
2016/10/17,1254.8,1283.84 
2016/10/18,1258.2,1273.40 
2016/10/19,1269.05,1264.86 
2016/10/20,1271.65,1258.35 
2016/10/21,1266.05,1254.04 
2016/10/24,1265.55,1251.95 
2016/10/25,1269.4,1251.69 
2016/10/26,1270.5,1252.71 
2016/10/27,1266.25,1254.52 
2016/10/28,1273,1256.73 
2016/10/31,1272,1258.92 
2016/11/1,1288.45,1260.95 
2016/11/2,1303.75,1262.71 
2016/11/3,1301,1264.54 
2016/11/4,1302.8,1267.02 
2016/11/7,1283.05,1270.40 
2016/11/8,1282.35,1274.59 
2016/11/9,1281.4,1278.81 
2016/11/10,1267.5,1282.29 
2016/11/11,1236.45,1284.54 
2016/11/14,1213.6,1285.12 
2016/11/15,1226.95,1283.28 
2016/11/16,1229.2,1278.33 
2016/11/17,1226.75,1270.62 
2016/11/18,1211,1261.15 
2016/11/21,1214.25,1251.06 
2016/11/22,1212.25,1241.05 
2016/11/23,1185.35,1231.70 
2016/11/24,1186.1,1223.45 
2016/11/25,1187.7,1216.03 
2016/11/28,1187,1209.17 
2016/11/29,1186.55,1202.82 
2016/11/30,1178.1,1197.08 
2016/12/1,1161.85,1192.10 
2016/12/2,1173.5,1187.84 
2016/12/5,1162.2,1183.91 
2016/12/6,1172.5,1180.26 
2016/12/7,1177.65,1176.77 
2016/12/8,1171.05,1173.61 
2016/12/9,1163.6,1171.10 
2016/12/12,1156.1,1169.34 
2016/12/13,1158.55,1168.14 
2016/12/14,1162.25,1167.11 
