date,gold,bit
2016-09-11,,621.65002
2016-09-12,1324.6,609.66998
2016-09-13,1323.65,610.91998
2016-09-14,1321.75,608.82001
2016-09-15,1310.8,610.38
2016-09-16,1308.35,609.10999
2016-09-17,,607.03998
2016-09-18,,611.58002
2016-09-19,1314.85,610.19
2016-09-20,1313.8,608.65997
2016-09-21,1326.1,598.88
2016-09-22,1339.1,597.41998
2016-09-23,1338.65,594.08002
2016-09-24,,603.88
2016-09-25,,601.73999
2016-09-26,1340.5,598.97998
2016-09-27,1327,605.96002
2016-09-28,1322.5,605.66998
2016-09-29,1318.1,603.84998
2016-09-30,1322.5,609.39001
2016-10-01,,614.82001
2016-10-02,,612.97998
2016-10-03,1313.3,611.84998
2016-10-04,1283.3,609.62
2016-10-05,1269.4,607.17999
2016-10-06,1254.5,612.08002
2016-10-07,1258.75,617.21002
2016-10-08,,614.73999
2016-10-09,,615.65002
2016-10-10,1259.5,617.53998
2016-10-11,1253.45,614.77002
2016-10-12,1256.5,635.01001
2016-10-13,1261.05,635.96002
2016-10-14,1251.75,634.02002
2016-10-15,,637.94
2016-10-16,,641.41998
2016-10-17,1254.8,638.96997
2016-10-18,1258.2,636.28998
2016-10-19,1269.05,629.25
2016-10-20,1271.65,627.71997
2016-10-21,1266.05,631.91998
2016-10-22,,655.47998
2016-10-23,,653.25
2016-10-24,1265.55,651.39001
2016-10-25,1269.4,655.31
2016-10-26,1270.5,651.45001
2016-10-27,1266.25,682.21997
2016-10-28,1273,687.67999
2016-10-29,,685.90997
2016-10-30,,698
2016-10-31,1272,702
2016-11-01,1288.45,697.01001
2016-11-02,1303.75,733.33002
2016-11-03,1301,686.16998
2016-11-04,1302.8,683.69
2016-11-05,,704.78998
2016-11-06,,712
2016-11-07,1283.05,709.96002
2016-11-08,1282.35,708.96997
2016-11-09,1281.4,720.92999
2016-11-10,1267.5,721.5
2016-11-11,1236.45,715.45001
2016-11-12,,703.71002
2016-11-13,,702.28003
2016-11-14,1213.6,706.46002
2016-11-15,1226.95,710.90997
2016-11-16,1229.2,711.72998
2016-11-17,1226.75,736.96002
2016-11-18,1211,747.52002
2016-11-19,,748.97998
2016-11-20,,729.06
2016-11-21,1214.25,738.53003
2016-11-22,1212.25,736.96997
2016-11-23,1185.35,741.63
2016-11-24,1186.1,737.45001
2016-11-25,1187.7,735.64001
2016-11-26,,733.66998
2016-11-27,,727.96002
2016-11-28,1187,727.31
2016-11-29,1186.55,732.71002
2016-11-30,1178.1,742.69
2016-12-01,1161.85,742.04999
2016-12-02,1173.5,772.42999
2016-12-03,,764.33002
2016-12-04,,762.96997
2016-12-05,1162.2,754.63
2016-12-06,1172.5,756.62
2016-12-07,1177.65,758.98999
2016-12-08,1171.05,769.71997
2016-12-09,1163.6,770.02002
2016-12-10,,769.08002
2016-12-11,,777
2016-12-12,1156.1,777
2016-12-13,1158.55,777.98999
2016-12-14,1162.25,774.89001
2016-12-15,1126.95,776.75
2016-12-16,1131.6,775.88
2016-12-17,,788.70001
2016-12-18,,788.40002
2016-12-19,1136.25,788.66998
2016-12-20,1125.7,793.09003
2016-12-21,1133.65,824.21002
2016-12-22,1131.35,834.96997
2016-12-23,,901.31
2016-12-24,,891.60999
2016-12-25,,892.59998
2016-12-26,,897.33002
2016-12-27,,930.37
2016-12-28,1134.6,930.34003
2016-12-29,1145.9,963.38
2016-12-30,,952.15002
2016-12-31,,958.12
2017-01-01,,997.71997
2017-01-02,,1015.97
2017-01-03,1151,1013.42
2017-01-04,1164.25,1126.76
2017-01-05,1176.7,994.66998
2017-01-06,1175.85,999.65002
2017-01-07,,896.83002
2017-01-08,,908.14001
2017-01-09,1178.5,910.48999
2017-01-10,1189.5,906.04999
2017-01-11,1178.55,785.21997
2017-01-12,1205.05,780.91998
2017-01-13,1190.35,826.28998
2017-01-14,,817.90997
2017-01-15,,819.54999
2017-01-16,1203,830.5
2017-01-17,1216.05,903.84003
2017-01-18,1214.75,906.59998
2017-01-19,1196.05,895.79889
2017-01-20,1200.55,893.62109
2017-01-21,,895.64001
2017-01-22,,918.60364
2017-01-23,1212.85,922.07361
2017-01-24,1216.8,919.96997
2017-01-25,1195,893.04565
2017-01-26,1189.7,915.95624
2017-01-27,1184.85,915.04999
2017-01-28,,920.31226
2017-01-29,,915.93298
2017-01-30,1192.8,912.19
2017-01-31,1212.8,964.70605
2017-02-01,1203.65,979.70386
2017-02-02,1221.95,983.41998
2017-02-03,1215.2,1013.027
2017-02-04,,1030.9994
2017-02-05,,1034.0699
2017-02-06,1226.75,1024.0138
2017-02-07,1231,1050.11
2017-02-08,1242.1,1052.84
2017-02-09,1236.8,976.10303
2017-02-10,1228.3,999.10352
2017-02-11,,997.59003
2017-02-12,,1000.6046
2017-02-13,1222.25,999.87738
2017-02-14,1230.75,1001.2
2017-02-15,1224.4,1012.326
2017-02-16,1240.55,1035.2081
2017-02-17,1241.95,1035.2
2017-02-18,,1056.6371
2017-02-19,,1052.7793
2017-02-20,1237.3,1050.87
2017-02-21,1233.2,1123.7885
2017-02-22,1236.65,1123.2231
2017-02-23,1247.9,1130.01
2017-02-24,1253.65,1174.8662
2017-02-25,,1150.6057
2017-02-26,,1150.37
2017-02-27,1257.2,1190.752
2017-02-28,1255.6,1187.5653
2017-03-01,1240.4,1190.89
2017-03-02,1238.1,1259.4108
2017-03-03,1226.5,1285.14
2017-03-04,,1287
2017-03-05,,1270.9333
2017-03-06,1230.95,1275.1974
2017-03-07,1216.65,1279.5
2017-03-08,1209.2,1157.3933
2017-03-09,1206.55,1192.4691
2017-03-10,1202.65,1192.09
2017-03-11,,1179.1599
2017-03-12,,1227.4946
2017-03-13,1204.2,1227.6801
2017-03-14,1204.6,1245.3707
2017-03-15,1198.8,1257.3997
2017-03-16,1229.35,1257
2017-03-17,1229.6,1091.1719
2017-03-18,,952.23236
2017-03-19,,967.69
2017-03-20,1232.4,1049.0845
2017-03-21,1241.6,1118.63
2017-03-22,1249.05,1113
2017-03-23,1247.5,1038.7889
2017-03-24,1247.5,941.91974
2017-03-25,,927.92999
2017-03-26,,956.78632
2017-03-27,1257.55,1037.2292
2017-03-28,1257.25,1041.04
2017-03-29,1251.1,1040.5754
2017-03-30,1248.8,1037.9045
2017-03-31,1244.85,1034.74
2017-04-01,,1086.9296
2017-04-02,,1099.1691
2017-04-03,1247.25,1079.99
2017-04-04,1257.65,1141.6003
2017-04-05,1245.8,1133.0793
2017-04-06,1252.5,1133.53
2017-04-07,1266.45,1190.4542
2017-04-08,,1181.1498
2017-04-09,,1184.03
2017-04-10,1250.05,1207.7449
2017-04-11,1252.9,1226.6171
2017-04-12,1274.3,1219.09
2017-04-13,1284.15,1180.0237
2017-04-14,,1185.26
2017-04-15,,1170.36
2017-04-16,,1186.9274
2017-04-17,,1205.6349
2017-04-18,1278.95,1176.97
2017-04-19,1279.05,1217.9301
2017-04-20,1282.1,1241.6863
2017-04-21,1281.85,1236.63
2017-04-22,,1261.3113
2017-04-23,,1257.9882
2017-04-24,1269.4,1240.84
2017-04-25,1267.8,1279.4147
2017-04-26,1261.85,1309.1099
2017-04-27,1262.8,1288.02
2017-04-28,1266.45,1331.2944
2017-04-29,,1334.979
2017-04-30,,1333
2017-05-01,,1417.1729
2017-05-02,1255.45,1452.0763
2017-05-03,1250.3,1447.55
2017-05-04,1228.45,1508.2921
2017-05-05,1228.05,1533.3351
2017-05-06,,1518.75
2017-05-07,,1535.8684
2017-05-08,1229.8,1640.6193
2017-05-09,1220.4,1651.1
2017-05-10,1222.95,1762.8862
2017-05-11,1223.15,1820.9906
2017-05-12,1231.25,1829
2017-05-13,,1771.92
2017-05-14,,1776.3165
2017-05-15,1233.3,1780
2017-05-16,1234.2,1739.032
2017-05-17,1257.4,1807.4851
2017-05-18,1255.9,1783.98
2017-05-19,1252,1961.5205
2017-05-20,,2052.9097
2017-05-21,,2008.84
2017-05-22,1258.85,2090.6624
2017-05-23,1260.2,2287.7102
2017-05-24,1252.55,2256.3201
2017-05-25,1256.95,2387.2063
2017-05-26,1265.05,2211.9768
2017-05-27,,2279.8201
2017-05-28,,2192.9807
2017-05-29,,2275.9307
2017-05-30,1262.7,2290.02
2017-05-31,1266.2,2285.9338
2017-06-01,1264.85,2399.2427
2017-06-02,1274.95,2409.9299
2017-06-03,,2525.7651
2017-06-04,,2516.1731
2017-06-05,1279.95,2529.53
2017-06-06,1293.5,2883.3137
2017-06-07,1291,2664.9209
2017-06-08,1273.1,2683.03
2017-06-09,1266.55,2827.4912
2017-06-10,,2845.3728
2017-06-11,,2898.6299
2017-06-12,1266.4,2657.675
2017-06-13,1262,2748.1851
2017-06-14,1275.5,2706
2017-06-15,1254.55,2442.4802
2017-06-16,1255.4,2464.9597
2017-06-17,,2477.9399
2017-06-18,,2507.3892
2017-06-19,1248.15,2617.2102
2017-06-20,1242.2,2600
2017-06-21,1242.5,2671.0432
2017-06-22,1250.8,2727.2881
2017-06-23,1255.7,2713.48
2017-06-24,,2589.1648
2017-06-25,,2512.3662
2017-06-26,1245.25,2502.03
2017-06-27,1249.55,2517.9031
2017-06-28,1248,2585.3491
2017-06-29,1243.5,2558.3
2017-06-30,1242.25,2477.6414
2017-07-01,,2501.1914
2017-07-02,,2421.26
2017-07-03,1229.25,2561.2253
2017-07-04,1223.75,2599.7297
2017-07-05,1220.3,2598.8899
2017-07-06,1224.9,2609.9678
2017-07-07,1215.65,2491.2012
2017-07-08,,2502.8601
2017-07-09,,2536.239
2017-07-10,1211.9,2366.1702
2017-07-11,1211.05,2327.0901
2017-07-12,1218.8,2385.7485
2017-07-13,1218.9,2354.7834
2017-07-14,1230.3,2338.49
2017-07-15,,2058.9956
2017-07-16,,1931.2144
2017-07-17,1234.1,1910.96
2017-07-18,1240.75,2320.1223
